GRAY	LAB_L	LAB_A	LAB_B
0.00	95.20	0.00	0.00
2.50	94.85	0.00	0.00
5.00	94.93	0.00	0.00
7.50	94.74	0.00	0.00
10.00	94.04	0.00	0.00
15.00	92.82	0.00	0.00
20.00	91.81	0.00	0.00
25.00	88.47	0.00	0.00
30.00	85.84	0.00	0.00
35.00	80.29	0.00	0.00
40.00	75.77	0.00	0.00
45.00	70.32	0.00	0.00
50.00	64.48	0.00	0.00
55.00	59.46	0.00	0.00
60.00	53.17	0.00	0.00
65.00	45.73	0.00	0.00
70.00	39.51	0.00	0.00
75.00	34.45	0.00	0.00
80.00	29.97	0.00	0.00
85.00	26.10	0.00	0.00
90.00	22.55	0.00	0.00
92.50	21.33	0.00	0.00
95.00	21.02	0.00	0.00
97.50	20.75	0.00	0.00
100.00	19.65	0.00	0.00
