GRAY	LAB_L	LAB_A	LAB_B
0.00	95.63	0.00	0.00
2.50	95.13	0.00	0.00
5.00	94.40	0.00	0.00
7.50	93.38	0.00	0.00
10.00	89.77	0.00	0.00
15.00	87.08	0.00	0.00
20.00	82.68	0.00	0.00
25.00	74.37	0.00	0.00
30.00	68.86	0.00	0.00
35.00	60.91	0.00	0.00
40.00	56.76	0.00	0.00
45.00	49.88	0.00	0.00
50.00	43.16	0.00	0.00
55.00	39.42	0.00	0.00
60.00	36.47	0.00	0.00
65.00	33.82	0.00	0.00
70.00	29.96	0.00	0.00
75.00	28.26	0.00	0.00
80.00	27.03	0.00	0.00
85.00	26.41	0.00	0.00
90.00	26.01	0.00	0.00
92.50	25.62	0.00	0.00
95.00	25.53	0.00	0.00
97.50	25.42	0.00	0.00
100.00	24.98	0.00	0.00
