GRAY	LAB_L	LAB_A	LAB_B
0.00	95.23	0.00	0.00
2.50	94.16	0.00	0.00
5.00	91.92	0.00	0.00
7.50	89.91	0.00	0.00
10.00	87.10	0.00	0.00
15.00	83.70	0.00	0.00
20.00	79.27	0.00	0.00
25.00	75.34	0.00	0.00
30.00	71.47	0.00	0.00
35.00	66.66	0.00	0.00
40.00	63.11	0.00	0.00
45.00	59.85	0.00	0.00
50.00	55.32	0.00	0.00
55.00	50.94	0.00	0.00
60.00	47.24	0.00	0.00
65.00	45.34	0.00	0.00
70.00	40.66	0.00	0.00
75.00	37.52	0.00	0.00
80.00	33.24	0.00	0.00
85.00	29.82	0.00	0.00
90.00	29.04	0.00	0.00
92.50	26.59	0.00	0.00
95.00	23.82	0.00	0.00
97.50	22.08	0.00	0.00
100.00	18.80	0.00	0.00
