GRAY	LAB_L	LAB_A	LAB_B
0.00	95.23	0.00	0.00
2.50	95.20	0.00	0.00
5.00	94.83	0.00	0.00
7.50	93.87	0.00	0.00
10.00	88.81	0.00	0.00
15.00	88.56	0.00	0.00
20.00	88.30	0.00	0.00
25.00	86.89	0.00	0.00
30.00	76.65	0.00	0.00
35.00	68.01	0.00	0.00
40.00	63.78	0.00	0.00
45.00	63.17	0.00	0.00
50.00	60.33	0.00	0.00
55.00	57.05	0.00	0.00
60.00	48.14	0.00	0.00
65.00	42.94	0.00	0.00
70.00	36.89	0.00	0.00
75.00	34.41	0.00	0.00
80.00	32.75	0.00	0.00
85.00	30.54	0.00	0.00
90.00	29.40	0.00	0.00
92.50	25.61	0.00	0.00
95.00	23.07	0.00	0.00
97.50	22.07	0.00	0.00
100.00	19.06	0.00	0.00
