GRAY	LAB_L	LAB_A	LAB_B
0.00	95.26	0.00	0.00
2.50	95.33	0.00	0.00
5.00	95.17	0.00	0.00
7.50	95.42	0.00	0.00
10.00	95.20	0.00	0.00
15.00	95.34	0.00	0.00
20.00	94.91	0.00	0.00
25.00	91.88	0.00	0.00
30.00	90.81	0.00	0.00
35.00	88.49	0.00	0.00
40.00	88.49	0.00	0.00
45.00	85.28	0.00	0.00
50.00	79.99	0.00	0.00
55.00	73.88	0.00	0.00
60.00	68.01	0.00	0.00
65.00	61.90	0.00	0.00
70.00	49.18	0.00	0.00
75.00	39.10	0.00	0.00
80.00	32.53	0.00	0.00
85.00	28.98	0.00	0.00
90.00	27.10	0.00	0.00
92.50	22.35	0.00	0.00
95.00	21.52	0.00	0.00
97.50	20.09	0.00	0.00
100.00	18.99	0.00	0.00
