GRAY	LAB_L	LAB_A	LAB_B
0.00	94.79	0.00	0.00
2.50	92.14	0.00	0.00
5.00	90.00	0.00	0.00
7.50	88.87	0.00	0.00
10.00	86.23	0.00	0.00
15.00	80.15	0.00	0.00
20.00	71.53	0.00	0.00
25.00	65.75	0.00	0.00
30.00	61.61	0.00	0.00
35.00	56.52	0.00	0.00
40.00	52.52	0.00	0.00
45.00	51.28	0.00	0.00
50.00	48.20	0.00	0.00
55.00	44.12	0.00	0.00
60.00	40.08	0.00	0.00
65.00	39.92	0.00	0.00
70.00	38.50	0.00	0.00
75.00	37.34	0.00	0.00
80.00	35.75	0.00	0.00
85.00	33.94	0.00	0.00
90.00	30.97	0.00	0.00
92.50	29.04	0.00	0.00
95.00	27.56	0.00	0.00
97.50	24.84	0.00	0.00
100.00	21.06	0.00	0.00
