CGATS.17

CREATED "06/20/2022	#Time:	11:30:29"
INSTRUMENTATION "i1Pro 2 ; Serial number 0"
ILLUMINATION_NAME "D50"
OBSERVER_ANGLE "2"

NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B 
END_DATA_FORMAT

NUMBER_OF_SETS 432
BEGIN_DATA
1 A1 0.00000 69.80000 0.00000 0.00000 54.39110 61.93969 -9.787846 
2 A2 0.00000 69.80000 20.00000 0.00000 53.86636 60.09314 1.313615 
3 A3 0.00000 69.80000 40.00000 0.00000 53.70580 57.90454 12.26147 
4 A4 0.00000 69.80000 69.80000 0.00000 53.91443 53.93433 30.02258 
5 A5 0.00000 69.80000 100.0000 0.00000 53.65433 50.79073 56.85490 
6 A6 0.00000 100.0000 0.00000 0.00000 41.25571 74.57563 28.61624 
7 A7 0.00000 100.0000 20.00000 0.00000 41.44791 74.33138 31.91706 
8 A8 0.00000 100.0000 40.00000 0.00000 41.74539 73.71573 35.34246 
9 A9 0.00000 100.0000 69.80000 0.00000 41.96385 73.09929 44.29537 
10 A10 0.00000 100.0000 100.0000 0.00000 42.01762 71.70558 57.71493 
11 A11 0.00000 64.71000 0.00000 49.41000 37.94728 34.95621 -5.948562 
12 A12 0.00000 64.71000 34.51000 49.41000 38.02459 32.57957 4.510504 
13 A13 0.00000 64.71000 64.71000 49.41000 38.99582 30.37700 16.38163 
14 A14 0.00000 64.71000 100.0000 49.41000 40.41944 27.14606 36.94350 
15 A15 29.41000 29.41000 29.41000 9.410000 57.29619 3.037453 -4.309213 
16 B1 0.00000 100.0000 0.00000 100.0000 10.51771 2.717555 0.827244 
17 B2 49.41000 100.0000 49.41000 74.51000 22.25420 20.25457 0.312501 
18 B3 61.57000 81.18000 61.57000 36.86000 30.89919 17.62755 -2.736658 
19 B4 20.00000 69.80000 0.00000 0.00000 47.77174 48.83340 -20.64272 
20 B5 20.00000 69.80000 20.00000 0.00000 46.97980 45.85817 -9.994149 
21 B6 20.00000 69.80000 40.00000 0.00000 47.14917 43.01858 0.976157 
22 B7 20.00000 69.80000 69.80000 0.00000 48.15781 39.58118 19.66333 
23 B8 20.00000 69.80000 100.0000 0.00000 48.03576 35.25156 45.96791 
24 B9 20.00000 100.0000 0.00000 0.00000 34.99081 64.54926 16.51614 
25 B10 20.00000 100.0000 20.00000 0.00000 35.55670 64.54845 19.38452 
26 B11 20.00000 100.0000 40.00000 0.00000 35.79927 63.22667 22.85346 
27 B12 20.00000 100.0000 69.80000 0.00000 36.24527 62.29202 31.80602 
28 B13 20.00000 100.0000 100.0000 0.00000 38.16294 59.46058 44.89732 
29 B14 34.51000 64.71000 0.00000 49.41000 33.25633 25.38255 -14.28295 
30 B15 34.51000 64.71000 34.51000 49.41000 33.58989 21.89110 -3.468102 
31 C1 34.51000 64.71000 64.71000 49.41000 34.71843 17.62512 7.753807 
32 C2 34.51000 64.71000 100.0000 49.41000 37.49616 13.87998 25.65995 
33 C3 16.08000 16.08000 16.08000 41.96000 53.16505 2.937168 -0.976300 
34 C4 30.20000 98.04000 30.20000 70.59000 23.76138 28.16832 0.476706 
35 C5 0.00000 100.0000 0.00000 74.51000 22.17228 34.34375 6.199771 
36 C6 14.90000 98.04000 14.90000 41.96000 30.41504 49.97337 6.715507 
37 C7 40.00000 69.80000 0.00000 0.00000 42.13162 38.29643 -29.92362 
38 C8 40.00000 69.80000 20.00000 0.00000 41.97833 34.70995 -18.80935 
